author,content,description,date,source,title,url
AP :: Setopati,A federal judge on Tuesday temporarily blocked a push from President Donald Trump to pause federal funding while his administration conducts an across-the-board ideological review to uproot progressi… [+8039 chars],A federal judge on Tuesday temporarily blocked a push from President Donald Trump to pause federal funding while his administration conducts an across-the-board ideological review to uproot progressive initiatives.,2025-01-29T09:30:01Z,Setopati.com,Federal judge temporarily blocks Trump administration freeze on federal grants and loans,https://en.setopati.com/International/164233
Chris Pandolfo,"Join Fox News for access to this content
You have reached your maximum number of articles. Log in or create an account FREE of charge to continue reading.
By entering your email and pushing continu… [+4852 chars]","Senate Democrats announced they would coordinate with blue state governors to fight back against Trump's federal funding freeze, which could hold up trillions of dollars in assistance.",2025-01-29T19:27:19Z,Fox News,Democrats coordinate multi-state response to Trump's funding freeze,https://www.foxnews.com/politics/democrats-coordinate-multi-state-response-trumps-funding-freeze
Newswire Editor,"""Another giant Trump tax giveaway to price gouging corporations won't lift up working people, but it will put Social Security and Medicare at risk,"" Carrk continued. ""A national Trump sales tax won't… [+4386 chars]","Last night, the White House Office of Management and Budget ordered
 a halt to all federal grants and loan disbursement. Groundwork Collaborative Senior Fellow Kitty Richards reacted with the following statement: “This blatantly illegal and authoritarian act…",2025-01-28T15:57:51Z,Common Dreams,Groundwork’s Kitty Richards on OMB Freeze: “A shocking power grab”,https://www.commondreams.org/newswire/groundworks-kitty-richards-on-omb-freeze-a-shocking-power-grab
CHRIS MEGERIAN Associated Press,"WASHINGTON A federal judge temporarily blocked a Trump administration freeze on federal grants and loans that could total trillions of dollars.
The White House had planned to pause federal grants an… [+4998 chars]",The White House had planned the pause as President Donald Trump's administration begins an ideological review of spending.,2025-01-28T22:15:00Z,Roanoke Times,Federal judge temporarily blocks Trump administration freeze on federal grants and loans,https://roanoke.com/news/nation-world/government-politics/donald-trump-federal-aid-loans-grants-pause/article_e11e588e-57f4-5f5e-a46d-fcc84f1a7e11.html
Ilya Somin,"(NA)
Yesterday, Donald Trump imposed 25% tariffs on Canadian and Mexican imports, and 10% on those from China. These actions will inflict immense costs on the US economy, raise prices for many goods… [+5475 chars]","Yesterday, Donald Trump imposed 25% tariffs on Canadian and Mexican imports, and 10% on those from China. These actions will inflict immense costs on the",2025-02-02T21:20:39Z,Reason,Challenge Trump's Tariffs Under the Nondelegation and Major Questions Doctrines,https://reason.com/volokh/2025/02/02/challenge-trumps-tariffs-under-the-nondelegation-and-major-questions-doctrines/
pmcarp4,Illinois politicians made the state's citizens proud today. They spoke out as all politicians of conscience should speak out each day every day until the degenerate fraudulence infesting the White Ho… [+3207 chars],Illinois politicians made the state's citizens proud today. They spoke out as all politicians of conscience should speak out each day — every day until the degenerate fraudulence infesting the White House and plaguing the nation is wiped clean from our lives …,2025-01-29T04:45:10Z,Pmcarpenter.com,"A state in agony invokes humanity, eviscerates Trump",https://www.pmcarpenter.com/post/a-state-in-agony-invokes-humanity-eviscerates-trump
Nick Pope,A legal organization chaired by Democratic election attorney Marc Elias and funded by a number of major left-wing donor groups helped the National Council of Nonprofits (NCN) to temporarily block the… [+6533 chars],A legal group chaired by Democratic election attorney Marc Elias and funded by a number of left-wing donor groups helped the National Council of Nonprofits ...,2025-01-29T15:50:33Z,The Daily Caller,"Liberal Donors, Marc Elias And Biden-Appointed Judge Freeze Trump Push To Starve Woke Nonprofits Of Taxpayer Cash",https://dailycaller.com/2025/01/29/marc-elias-liberal-donors-biden-judge-trump-freeze-federal-grants/
Dustin Rowles,I read in People this morning—in what must have been the umpteenth excuse to promote his new alcohol brand—that Gabriel Macht has been apologizing to Suits fans who went to law school because of the … [+3331 chars],"I read in People this morning--in what must have been the umpteenth excuse to promote his new alcohol brand--that Gabriel Macht has been apologizing to Suits fans who went to law school because of the show. ""There are so many...
Read more...",2025-01-30T14:17:37Z,Pajiba.com,Please Don't Go to Law School Because You Liked Gabriel Macht in 'Suits',https://www.pajiba.com/news/please-dont-go-to-law-school-because-you-liked-gabriel-macht-in-suits.php
Elisabeth McGowan,"Image Credit: AFP via Getty Images
Now that Donald Trumpis president, multiple changes are sweeping the nation. After signing several executive orders earlier this month including putting government… [+2683 chars]",Trump's new administration is pausing federal grants and loan disbursement. Find out what this could mean for you.,2025-01-28T14:43:50Z,Hollywood Life,Did Trump Stop Food Stamps? He Freezes Federal Grants,https://hollywoodlife.com/2025/01/28/did-trump-stop-food-stamps/
CHRIS MEGERIAN Associated Press,"WASHINGTON -- The White House is pausing federal grants and loans starting Tuesday as President Donald Trump's administration begins an across-the-board ideological review of its spending, causing co… [+4038 chars]",Democrats are planning to fight President Donald Trump's efforts to pause federal grants and loans,2025-01-28T17:34:36Z,ABC News,Legal battle looms as Trump orders a funding freeze during a review of federal loans and grants,https://abcnews.go.com/US/wireStory/legal-battle-looms-trump-orders-funding-freeze-review-118173796
