"File","cluster_2","cluster_3","cluster_4","cluster_5","cluster_6"
"ABC News_0.txt",1,1,1,1,1
"ABC News_1.txt",1,1,1,1,1
"ABC News_10.txt",2,2,2,2,2
"ABC News_11.txt",2,2,2,2,2
"ABC News_12.txt",2,2,3,3,3
"ABC News_13.txt",2,2,3,3,3
"ABC News_14.txt",2,2,2,2,2
"ABC News_15.txt",2,2,2,2,2
"ABC News_16.txt",1,1,1,1,1
"ABC News_2.txt",2,2,3,3,3
"ABC News_3.txt",2,2,2,2,4
"ABC News_4.txt",2,3,4,4,5
"ABC News_5.txt",2,2,2,2,2
"ABC News_6.txt",2,2,2,2,2
"ABC News_7.txt",2,2,3,3,3
"ABC News_8.txt",2,2,3,3,3
"ABC News_9.txt",2,3,4,5,6
"Al Jazeera English_0.txt",1,1,1,1,1
"Al Jazeera English_1.txt",2,2,3,3,3
"Al Jazeera English_2.txt",2,2,3,3,3
"Al Jazeera English_3.txt",2,2,2,2,2
"Al Jazeera English_4.txt",2,2,2,2,2
"Americanthinker.com_0.txt",2,2,2,2,4
"Americanthinker.com_1.txt",2,3,4,4,5
"Americanthinker.com_2.txt",2,2,2,2,2
"Americanthinker.com_3.txt",2,2,2,2,4
"Americanthinker.com_4.txt",2,2,3,3,3
"Americanthinker.com_5.txt",2,2,2,2,4
"ARLnow_0.txt",2,3,4,4,5
"Boston Herald_0.txt",1,1,1,1,1
"Boston Herald_1.txt",2,2,2,2,4
"Boston Herald_10.txt",2,2,3,3,3
"Boston Herald_11.txt",2,2,3,3,3
"Boston Herald_12.txt",2,2,3,3,3
"Boston Herald_13.txt",2,3,4,5,6
"Boston Herald_14.txt",2,2,3,3,3
"Boston Herald_2.txt",2,3,4,4,5
"Boston Herald_3.txt",2,2,2,2,4
"Boston Herald_4.txt",1,1,1,1,1
"Boston Herald_5.txt",2,2,3,3,3
"Boston Herald_6.txt",2,2,2,2,4
"Boston Herald_7.txt",2,3,4,5,6
"Boston Herald_8.txt",2,2,2,2,2
"Boston Herald_9.txt",1,1,1,1,1
"Breitbart News_0.txt",1,1,1,1,1
"Breitbart News_1.txt",2,2,2,2,4
"Breitbart News_2.txt",2,2,2,2,4
"Catholicnewsagency.com_0.txt",2,2,3,3,3
"Catholicnewsagency.com_1.txt",2,2,2,2,2
"CBS News_0.txt",1,1,1,1,1
"CBS News_1.txt",2,3,4,5,6
"CBS News_10.txt",2,3,4,5,6
"CBS News_11.txt",2,3,4,5,6
"CBS News_12.txt",2,2,2,2,2
"CBS News_13.txt",2,3,4,5,6
"CBS News_14.txt",2,3,4,5,6
"CBS News_15.txt",2,3,4,5,6
"CBS News_16.txt",2,2,2,2,2
